toko,nama_produk,harga,harga_origin,diskon,rating,jumlah_review,jumlah_terjual,lokasi,kategori,brand,url_produk,url_gambar,tanggal_scraping
Dandan Online,EMINA Matte Core Cushion N03 Creme 13Gr (451190),Rp101.119,Rp132.500,Hemat 24% dengan voucher,,0.0,,Kab. Tangerang,Kesehatan & Kecantikan,,https://www.lazada.co.id/products/pdp-i8798142988.html,https://img.lazcdn.com/g/p/5f79c21ca298a01daabdb40f9ace9d8a.jpg_400x400q75.jpg,2026-04-07
Dandan Online,PIGEON Teens Bright Heroes Sleeping Mask 30gr,Rp32.521,Rp43.145,Hemat 25% dengan voucher,5.0,14.0,34,Kab. Tangerang,Kesehatan & Kecantikan,,https://www.lazada.co.id/products/pdp-i8655426229.html,https://img.lazcdn.com/g/p/e7ac9189211306df00183350a7adf4e5.jpg_400x400q75.jpg,2026-04-07
Dandan Online,IMPLORA Eyeliner Pen 1.7gr,Rp28.000,,,5.0,1.0,,Kab. Tangerang,Kesehatan & Kecantikan,,https://www.lazada.co.id/products/pdp-i8710662361.html,https://img.lazcdn.com/g/p/3c6c87f86f2039bf95ba2fe68f24e4d9.jpg_400x400q75.jpg,2026-04-07
Dandan Online,BRAVEN Collection Eau De Parfum 100ml,Rp41.210,Rp47.870,Hemat 14% dengan voucher,,0.0,,Kab. Tangerang,Kesehatan & Kecantikan,,https://www.lazada.co.id/products/pdp-i8721672796.html,https://img.lazcdn.com/g/p/15e568eafe65d32829759133c883c5a2.jpg_400x400q75.jpg,2026-04-07
Dandan Online,SLAVINA Body Lotion Red Opium 200Ml (450314),Rp40.936,Rp53.225,Hemat 23% dengan voucher,5.0,0.0,52,Kab. Tangerang,Kesehatan & Kecantikan,,https://www.lazada.co.id/products/pdp-i8790728281.html,https://img.lazcdn.com/g/p/384b1518cc5e27017210f9e3337a00d1.jpg_400x400q75.jpg,2026-04-07
Dandan Online,Pixy Airy Hydra Blur Primer 20ml,Rp49.000,Rp50.075,Hemat 2% dengan voucher,,0.0,,Kab. Tangerang,Kesehatan & Kecantikan,,https://www.lazada.co.id/products/pdp-i18827149722.html,https://img.lazcdn.com/g/p/6ec3b7fe5b481167c715624b18343d5b.jpg_400x400q75.jpg,2026-04-07
Dandan Online,SKINTIFIC Perfect Stay Velvet Matte Cushion 11gr,Rp126.745,Rp139.955,Hemat 9% dengan voucher,5.0,0.0,,Kab. Tangerang,Kesehatan & Kecantikan,,https://www.lazada.co.id/products/pdp-i8663990084.html,https://img.lazcdn.com/g/p/a54faef6fa9a182353bca79576b31967.jpg_400x400q75.jpg,2026-04-07
Dandan Online,G2G Glad2Glow Tremella Vita B5 Sensitive Calming Gel Cleanser 70ml,Rp41.500,Rp42.200,Hemat 2% dengan voucher,,0.0,,Kab. Tangerang,Kesehatan & Kecantikan,,https://www.lazada.co.id/products/pdp-i8734550657.html,https://img.lazcdn.com/g/p/00685dca981c8d1d146607f660e9bff1.jpg_400x400q75.jpg,2026-04-07
Dandan Online,Pixy 4BB Concealing Base 03 Creme Beige (444670),Rp46.900,Rp47.870,Hemat 2% dengan voucher,,0.0,,Kab. Tangerang,Kesehatan & Kecantikan,,https://www.lazada.co.id/products/pdp-i8828400819.html,https://img.lazcdn.com/g/p/7693323bde8ad551c2a650ad7bd1d1fc.jpg_400x400q75.jpg,2026-04-07
Dandan Online,Garnier Light Complete Serum Cream Yuzu 410981,Rp47.000,Rp47.975,Hemat 2% dengan voucher,4.6,2.0,6,Kab. Tangerang,Kesehatan & Kecantikan,,https://www.lazada.co.id/products/pdp-i6920098621.html,https://img.lazcdn.com/g/p/6b1528fae117eab0e14fdb84c9e3136f.jpg_400x400q75.jpg,2026-04-07
Dandan Online,Clean & Clear Foaming Facial Wash 100 ml (116409),Rp34.000,Rp34.325,Hemat 1% dengan voucher,,0.0,,Kab. Tangerang,Kesehatan & Kecantikan,,https://www.lazada.co.id/products/pdp-i7460202211.html,https://img.lazcdn.com/g/p/439d6fcca76e5f45fd9eb2b5ca2164e1.jpg_400x400q75.jpg,2026-04-07
Dandan Online,Braven Men Sport Roll On Active 50ml (436324),Rp20.300,,,,0.0,,Kab. Tangerang,Kesehatan & Kecantikan,,https://www.lazada.co.id/products/pdp-i7459912645.html,https://img.lazcdn.com/g/p/8725d218457ec519ef690b965b292e5b.jpg_400x400q75.jpg,2026-04-07
Dandan Online,COSRX Low pH Good Morning Gel Cleanser 50ml (440079),Rp74.500,Rp76.850,Hemat 3% dengan voucher,4.9,0.0,63,Kab. Tangerang,Kesehatan & Kecantikan,,https://www.lazada.co.id/products/pdp-i8396174072.html,https://img.lazcdn.com/g/p/c72e59557ae78b99b95ce839943c76e1.jpg_400x400q75.jpg,2026-04-07
Dandan Online,Byul Hyperfine Eyeliner 0.5ml (451877),Rp31.000,Rp38.000,Hemat 18% dengan voucher,,0.0,,Kab. Tangerang,Kesehatan & Kecantikan,,https://www.lazada.co.id/products/pdp-i8828334535.html,https://img.lazcdn.com/g/p/c64833b9ee8ad8bbdcc8efc05db11cba.jpg_400x400q75.jpg,2026-04-07
Dandan Online,SOMETHINC Hangover Mascara 7gr,Rp96.500,Rp99.950,Hemat 3% dengan voucher,5.0,4.0,12,Kab. Tangerang,Kesehatan & Kecantikan,,https://www.lazada.co.id/products/pdp-i8640704737.html,https://img.lazcdn.com/g/p/2e1dd26642bb11df076662f112a4189e.jpg_400x400q75.jpg,2026-04-07
Dandan Online,DAZZLE ME Ink Gloss Lip Tint (449734),Rp24.145,Rp26.555,Hemat 9% dengan voucher,,0.0,,Kab. Tangerang,Kesehatan & Kecantikan,,https://www.lazada.co.id/products/pdp-i8799618221.html,https://img.lazcdn.com/g/p/9b6c8a565301c3b9e1bbb9915b69fabc.jpg_400x400q75.jpg,2026-04-07
Dandan Online,Laurier Pantyliner Non Perfume Active Fit/Clean Fresh 40 Pads (106005),Rp16.400,,,5.0,0.0,5,Kab. Tangerang,Kesehatan & Kecantikan,,https://www.lazada.co.id/products/pdp-i7315636780.html,https://img.lazcdn.com/g/p/9748900a85f4319c9628dfa85a8f55a0.jpg_400x400q75.jpg,2026-04-07
